CD_SETOR,CEP
355030804000083,03385-120
355030804000083,03385-140
355030804000083,03386-090
355030804000083,03612-160
355030804000084,03462-120
355030804000084,03462-130
355030804000084,03462-140
355030804000084,03463-120
355030804000084,03463-140
355030804000086,03462-000
355030804000086,03463-000
355030804000086,03463-010
355030804000086,03463-020
355030804000086,03463-030
355030804000086,03463-050
355030804000086,03463-055
355030804000086,03463-070
355030804000086,03463-150
355030804000087,03480-030
355030804000087,03480-060
355030804000087,03480-070
355030804000087,03908-110
355030804000088,03908-030
355030804000088,03908-070
355030804000088,03908-120
355030804000088,03908-170
355030804000088,03908-179
355030804000088,03908-180
355030804000088,03908-230
355030804000088,03908-270
355030804000089,03480-010
355030804000089,03480-040
355030804000089,03901-000
355030804000089,03906-150
355030804000089,03908-190
355030804000089,03908-280
355030804000090,03908-020
355030804000090,03908-060
355030804000090,03908-090
355030804000090,03908-205
355030804000090,03908-290
355030804000090,03908-320
355030804000091,03908-200
355030804000091,03908-220
355030804000091,03908-240
355030804000091,03908-250
355030804000091,03908-300
355030804000092,03906-000
355030804000092,03906-010
355030804000092,03906-040
355030804000092,03906-050
355030804000092,03906-090
355030804000093,03909-100
355030804000093,03909-190
355030804000094,03909-160
355030804000094,03909-180
355030804000095,03910-070
355030804000095,03910-100
355030804000096,03906-030
355030804000096,03906-100
355030804000097,03905-100
355030804000097,03910-050
355030804000098,03910-030
355030804000098,03910-035
355030804000099,03912-010
355030804000099,03912-090
355030804000099,03912-270
355030804000100,03912-060
355030804000100,03912-150
355030804000100,03912-160
355030804000100,03912-170
355030804000100,03912-200
355030804000100,03912-220
355030804000101,03912-130
355030804000101,03912-250
355030804000101,03912-280
355030804000101,03912-320
355030804000102,03912-040
355030804000102,03912-070
355030804000102,03912-290
355030804000102,03912-310
355030804000102,03916-010
355030804000103,03385-005
355030804000103,03385-010
355030804000103,03385-020
355030804000103,03385-030
355030804000103,03385-040
355030804000103,03385-050
355030804000103,03385-100
355030804000105,03908-050
355030804000105,03908-330
355030804000106,03908-160
355030804000106,03909-000
355030804000106,03909-020
355030804000106,03909-040
355030804000106,03909-050
355030804000106,03909-070
355030804000106,03909-110
355030804000107,03909-090
355030804000107,03909-200
355030804000108,03909-130
355030804000108,03909-140
355030804000108,03909-150
355030804000108,03909-170
355030804000112,03907-000
355030804000112,03907-040
355030804000112,03907-050
355030804000112,03907-060
355030804000112,03907-080
355030804000112,03907-090
355030804000112,03907-100
355030804000113,03907-010
355030804000113,03907-030
355030804000113,03909-010
355030804000113,03909-030
355030804000113,03909-060
355030804000114,03474-020
355030804000114,03474-023
355030804000114,03474-060
355030804000115,03475-075
355030804000116,03474-050
355030804000116,03474-055
355030804000116,03475-015
355030804000116,03475-170
355030804000117,03472-090
355030804000117,03472-100
355030804000117,03472-110
355030804000117,03472-120
355030804000117,03472-140
355030804000118,03462-020
355030804000118,03462-060
355030804000118,03462-070
355030804000118,03462-080
355030804000118,03462-090
355030804000118,03462-100
355030804000118,03462-110
355030804000118,03462-150
355030804000118,03462-155
355030804000119,03906-020
355030804000119,03906-080
355030804000119,03908-010
355030804000119,03908-130
355030804000119,03909-120
355030804000120,03909-080
355030804000120,03910-020
355030804000121,03910-040
355030804000121,03910-060
355030804000121,03910-080
355030804000122,03910-090
355030804000123,03385-000
355030804000123,03385-060
355030804000123,03385-080
355030804000123,03385-090
355030804000123,03385-110
355030804000125,03471-040
355030804000125,03471-050
355030805000002,03694-060
355030805000002,03694-140
355030805000002,03694-160
355030805000003,08220-120
355030805000003,08220-130
355030805000003,08220-170
355030805000004,08220-020
355030805000004,08220-110
355030805000005,08220-060
355030805000005,08220-070
355030805000005,08220-080
355030805000008,03595-070
355030805000008,03595-120
355030805000008,03595-170
355030805000010,03691-010
355030805000011,03691-000
355030805000011,03691-030
355030805000012,03694-090
355030805000012,03694-100
355030805000012,03696-040
355030805000013,03594-000
355030805000013,08220-190
355030805000014,08220-090
355030805000014,08220-100
355030805000016,03590-000
355030805000017,03567-010
355030805000017,03567-070
355030805000017,03567-080
355030805000017,03568-065
355030805000019,03668-010
355030805000019,03668-040
355030805000019,03669-000
355030805000019,03669-050
355030805000020,03669-060
355030805000020,03669-070
355030805000020,03698-000
355030805000020,03699-000
355030805000021,03668-050
355030805000021,03668-060
355030805000021,03688-070
355030805000021,03691-160
355030805000024,03634-170
355030805000024,03692-000
355030805000024,03693-120
355030805000024,03693-170
355030805000025,03693-000
355030805000025,03693-100
355030805000025,03693-190
355030805000025,03693-200
355030805000025,03693-210
355030805000026,03693-130
355030805000026,03693-180
355030805000026,03693-240
355030805000026,03694-180
355030805000028,03590-020
355030805000028,03590-030
355030805000029,03590-050
355030805000030,03568-020
355030805000030,03568-100
355030805000031,03590-070
355030805000033,03568-050
355030805000033,03568-070
355030805000037,03566-000
355030805000037,03567-020
355030805000038,03668-000
355030805000038,03668-090
355030805000038,03669-011
355030805000038,03669-100
355030805000039,03688-020
355030805000039,03688-030
355030805000039,03688-110
355030805000040,03688-040
355030805000040,03688-050
355030805000040,03688-120
355030805000040,03688-140
355030805000040,03688-150
355030805000041,03668-030
355030805000041,03688-090
355030805000042,03691-070
355030805000043,03689-030
355030805000043,03689-035
355030805000043,03689-050
355030805000044,03689-070
355030805000044,03689-080
355030805000044,03692-010
355030805000044,03692-020
355030805000044,03692-070
355030805000045,03693-050
355030805000045,03693-060
355030805000047,03693-010
355030805000047,03693-220
355030805000047,03693-250
355030805000048,03693-020
355030805000048,03693-140
355030805000048,03693-150
355030805000050,03590-040
355030805000052,03590-080
355030805000054,03590-130
355030805000054,03590-140
355030805000055,03590-150
355030805000056,03568-060
355030805000059,03567-140
355030805000061,03565-000
355030805000061,03565-010
355030805000061,03565-040
355030805000064,03687-050
355030805000064,03687-075
355030805000064,03687-110
355030805000065,03687-010
355030805000065,03687-060
355030805000065,03687-090
355030805000066,03688-060
355030805000066,03688-100
355030805000066,03688-130
355030805000067,03689-000
355030805000067,03689-010
355030805000067,03689-020
355030805000067,03689-060
355030805000068,03689-040
355030805000068,03693-080
355030805000070,03690-010
355030805000070,03690-020
355030805000070,03690-030
355030805000070,03690-040
355030805000072,03693-160
355030805000078,03590-060
355030805000079,03590-090
355030805000081,03590-120
355030805000081,03590-170
355030805000082,03563-060
355030805000082,03563-070
355030805000082,03567-115
355030805000082,03569-000
355030805000084,03560-030
355030805000086,03688-000
355030805000088,03685-050
355030805000089,03688-010
355030805000090,03685-060
355030805000090,03685-140
355030805000093,03590-100
355030805000110,03562-000
355030805000110,03562-010
355030805000110,03563-000
355030805000114,03589-070
355030805000114,03589-130
355030805000115,03589-001
355030805000118,03590-190
355030805000119,03599-190
355030805000120,03590-200
355030805000123,03563-290
355030805000123,03563-300
355030805000123,03563-310
355030805000123,03563-320
355030805000123,03563-350
355030805000123,03563-390
355030805000126,03561-070
355030805000126,03561-080
355030805000128,03561-020
355030805000129,03560-005
355030805000129,03560-007
355030805000129,03562-040
355030805000134,03589-040
355030805000134,03589-050
355030805000134,03589-060
355030805000136,03589-000
355030805000137,03589-020
355030805000138,03560-100
355030805000138,03560-110
355030805000138,03560-120
355030805000140,03694-030
355030805000140,03694-040
